year,weekofyear,total_cases,pred_cases
2008,1,29,9.905627412730182
2008,2,58,11.928646273749717
2008,3,26,12.373659424044757
2008,4,38,10.4218121001941
2008,5,35,10.163948493256992
2008,6,37,12.135970293028036
2008,7,20,10.178227492191814
2008,8,29,8.026642501775973
2008,9,25,11.330735442478144
2008,10,23,7.577740657962583
2008,11,9,9.99860584679252
2008,12,3,7.66476948717138
2008,13,6,6.9834181377503
2008,14,6,7.741221960442968
2008,15,3,7.035297166871568
2008,16,1,8.217442977011647
2008,17,3,8.292245559331779
2008,18,1,7.16864817393671
2008,19,1,9.25935068399023
2008,20,0,9.00308109265453
2008,21,2,4.256697118041733
2008,22,1,3.159098006158888
2008,23,1,6.55968105825946
2008,24,0,8.106079658468147
2008,25,0,6.429597616811905
2008,26,1,3.2176454607126885
2008,27,0,7.06529705501193
2008,28,3,5.350546749297833
2008,29,3,3.192297619516625
2008,30,1,2.8870005581925495
2008,31,5,4.220986340214712
2008,32,2,5.247573546461715
2008,33,5,5.480986455133619
2008,34,5,6.094914520052816
2008,35,5,6.471016051685134
2008,36,9,8.529566376008908
2008,37,17,6.82455570967896
2008,38,19,10.713433652317022
2008,39,25,18.103063046863543
2008,40,45,15.955091077521434
2008,41,34,16.22743530162622
2008,42,63,33.103727278162076
2008,43,44,29.862906133532483
2008,44,50,8.419352824731526
2008,45,35,17.530139741672798
2008,46,16,9.271894118147557
2008,47,16,11.38881278506929
2008,48,13,12.124087154194198
2008,49,9,9.664823378708663
2008,50,15,9.741632838694963
2008,51,4,8.931541471140525
2008,52,0,8.51433706872054
2009,1,1,9.056167996624128
2009,2,10,8.570627119408345
2009,3,11,9.81549990661405
2009,4,29,9.725607549902714
2009,5,35,10.914321539879516
2009,6,30,7.1289338420522075
2009,7,20,9.680535884584295
2009,8,21,9.55852486513886
2009,9,12,7.801095823505261
2009,10,9,9.277606252657622
2009,11,11,9.025582185665943
2009,12,9,8.491266104150464
2009,13,5,8.446733526826627
2009,14,11,8.727842691535846
2009,15,3,8.38127714193544
2009,16,5,9.418493035339646
2009,17,5,6.687314479383219
2009,18,4,7.267367088185264
2009,19,4,9.935386446423978
2009,20,1,8.657492172685235
2009,21,0,8.412814502256046
2009,22,2,8.160199848246442
2009,23,3,7.731436385503747
2009,24,3,8.046645059511695
2009,25,5,7.167420364223244
2009,26,2,3.0277617676746287
2009,27,1,4.990995927757357
2009,28,2,7.441835378046241
2009,29,0,6.003097547907859
2009,30,0,5.596469127149728
2009,31,3,5.621947699104595
2009,32,5,3.0259174944206286
2009,33,5,5.3458909111422575
2009,34,7,8.892395788804947
2009,35,5,5.91797406090849
2009,36,2,9.274628603607301
2009,37,2,10.194854518838937
2009,38,2,8.047418080266938
2009,39,0,7.694678338335859
2009,40,2,9.422707457362538
2009,41,1,11.338519724583406
2009,42,1,8.66875579341925
2009,43,2,8.311108880183122
2009,44,2,6.734582226791471
2009,45,3,9.707418350906984
2009,46,9,8.8983395523244
2009,47,5,10.430094233453406
2009,48,5,9.709982937387105
2009,49,4,12.189074867679256
2009,50,4,10.072764705107705
2009,51,1,9.769075933767775
2009,52,0,8.817520076145286
2010,53,0,10.475019570270375
2010,1,10,10.208303410090615
2010,2,9,6.984635173994461
2010,3,17,6.984635173994461
2010,4,16,8.695871888984634
2010,5,11,8.808115183885015
2010,6,12,10.20505923580165
2010,7,19,10.522624153658617
2010,8,15,10.256024413309314
2010,9,12,10.274146829997402
2010,10,12,10.428744969349076
2010,11,16,13.681604286618699
2010,12,9,10.609155581278152
2010,13,4,11.976788006811471
2010,14,9,9.374889822691754
2010,15,6,9.077683722770011
2010,16,8,13.205624597970946
2010,17,4,9.831865621552437
2010,18,2,9.600253346825664
2010,19,7,9.176986459285697
2010,20,6,9.618602539736667
2010,21,5,9.449193949523032
2010,22,8,3.2641279289806584
2010,23,1,8.926421077062313
2010,24,1,8.590582793320127
2010,25,4,5.815274403739031
