year,weekofyear,total_cases,pred_cases
2008,1,29,7.853706544602584
2008,2,58,7.645729403304355
2008,3,26,4.8976043721668
2008,4,38,6.930507822530135
2008,5,35,7.4666988495461375
2008,6,37,7.851063523674721
2008,7,20,8.643400296552048
2008,8,29,4.239755603369151
2008,9,25,9.369727294141658
2008,10,23,4.7281947097511114
2008,11,9,7.92762383889875
2008,12,3,4.118008854462008
2008,13,6,6.099911983369825
2008,14,6,5.767325586105063
2008,15,3,7.877175384288915
2008,16,1,5.805233342105435
2008,17,3,6.223946048280265
2008,18,1,5.92440104815196
2008,19,1,7.13304735799424
2008,20,0,6.981657014819067
2008,21,2,1.9373536876483333
2008,22,1,1.201884333367254
2008,23,1,4.113333865481419
2008,24,0,5.7471246203079005
2008,25,0,4.4722936615818085
2008,26,1,2.1982518941374214
2008,27,0,4.930582582431786
2008,28,3,2.9001830615014126
2008,29,3,2.9887698916708954
2008,30,1,1.9565828468583075
2008,31,5,2.3424748330736986
2008,32,2,1.8998221863493723
2008,33,5,2.8153945556815043
2008,34,5,2.6436872401552844
2008,35,5,3.1374326636853636
2008,36,9,4.10499136667293
2008,37,17,2.234174341378687
2008,38,19,2.875695264211086
2008,39,25,1.3566583878361311
2008,40,45,2.597151744753202
2008,41,34,1.7700927718691557
2008,42,63,3.081331291978185
2008,43,44,4.031802945423198
2008,44,50,3.3073761758929376
2008,45,35,5.250410962291223
2008,46,16,4.931487035067118
2008,47,16,5.393244125581763
2008,48,13,2.5034738273020207
2008,49,9,8.958910939159797
2008,50,15,10.642651772777118
2008,51,4,7.652147575739779
2008,52,0,5.486396946062644
2009,1,1,7.0645574538452856
2009,2,10,5.116789126511481
2009,3,11,7.179029811862858
2009,4,29,6.510781573002827
2009,5,35,6.267989619863034
2009,6,30,2.0475325561463973
2009,7,20,5.605506431363512
2009,8,21,5.247625274645504
2009,9,12,3.715868686251252
2009,10,9,5.3459506923430204
2009,11,11,5.139352810518599
2009,12,9,5.993997938753072
2009,13,5,4.141164767164685
2009,14,11,5.093573850348331
2009,15,3,4.477161134016367
2009,16,5,5.228050421759196
2009,17,5,4.899924222002287
2009,18,4,4.09964640137861
2009,19,4,8.45974757860574
2009,20,1,5.51580094665206
2009,21,0,4.5594919654087
2009,22,2,3.531194243976945
2009,23,3,4.446117302783524
2009,24,3,3.8001258305268846
2009,25,5,1.3600336983970434
2009,26,2,0.28638790553618465
2009,27,1,0.9015986507236531
2009,28,2,3.860151125705056
2009,29,0,1.9863201712566974
2009,30,0,0.9866120814332118
2009,31,3,2.2477765175670794
2009,32,5,2.517065579977285
2009,33,5,2.118690740577961
2009,34,7,2.0023976576847358
2009,35,5,2.6457713472171673
2009,36,2,2.503779899342288
2009,37,2,3.458614224224459
2009,38,2,1.9003245028200877
2009,39,0,3.6042297142941107
2009,40,2,4.452180681883714
2009,41,1,3.4128776286440154
2009,42,1,4.796125888032055
2009,43,2,5.414999683385009
2009,44,2,3.4629734663625666
2009,45,3,5.767424963096911
2009,46,9,6.366482000700369
2009,47,5,6.034850621994767
2009,48,5,5.9911488270353495
2009,49,4,4.189549968469681
2009,50,4,7.041356025005303
2009,51,1,5.6810456581790625
2009,52,0,5.669563087483912
2010,53,0,6.157526459553441
2010,1,10,8.415490956789416
2010,2,9,3.5898285867757243
2010,3,17,3.5898285867757243
2010,4,16,4.535982017303933
2010,5,11,6.302314217626549
2010,6,12,7.190979031055772
2010,7,19,9.929259980164648
2010,8,15,10.96234996622901
2010,9,12,8.107564434128367
2010,10,12,8.491678468785384
2010,11,16,10.824672105946409
2010,12,9,8.561400393674223
2010,13,4,7.567080774964811
2010,14,9,8.443705721435496
2010,15,6,5.25521564732313
2010,16,8,8.319317826379265
2010,17,4,8.112602674485554
2010,18,2,9.76702535337235
2010,19,7,5.551140317325373
2010,20,6,7.619682177417165
2010,21,5,6.377586139985329
2010,22,8,3.26397680426409
2010,23,1,6.603344805672233
2010,24,1,3.394276231465757
2010,25,4,4.792565432362366
