year,weekofyear,total_cases,pred_cases
2003,44,39,41.870741711419285
2003,45,39,36.08779269763958
2003,46,34,36.08779269763958
2003,47,30,33.94006808866331
2003,48,37,37.319394975962965
2003,49,29,41.52770825938482
2003,50,26,31.4745836226955
2003,51,15,29.170501610472083
2003,52,22,30.6137531433558
2004,1,15,29.170501610472083
2004,2,20,28.106668603528878
2004,3,14,28.23751343151738
2004,4,10,28.23751343151738
2004,5,21,28.23751343151738
2004,6,14,27.173680424574176
2004,7,14,28.23751343151738
2004,8,9,27.173680424574176
2004,9,11,28.23751343151738
2004,10,5,28.23751343151738
2004,11,6,27.173680424574176
2004,12,7,27.173680424574176
2004,13,11,28.23751343151738
2004,14,4,28.23751343151738
2004,15,3,28.23751343151738
2004,16,2,26.602340387193642
2004,17,6,26.48350159108907
2004,18,10,27.173680424574176
2004,19,7,28.23751343151738
2004,20,5,29.170501610472083
2004,21,3,28.23751343151738
2004,22,12,28.106668603528878
2004,23,13,30.6137531433558
2004,24,10,30.6137531433558
2004,25,13,34.16576225807369
2004,26,13,35.8620985282292
2004,27,8,34.16576225807369
2004,28,21,36.08779269763958
2004,29,18,35.87614344307924
2004,30,8,35.87614344307924
2004,31,7,36.08779269763958
2004,32,20,35.8620985282292
2004,33,14,37.79817388264513
2004,34,14,36.08779269763958
2004,35,7,36.08779269763958
2004,36,14,42.34952061810145
2004,37,10,40.6391394330959
2004,38,13,36.08779269763958
2004,39,27,42.34952061810145
2004,40,13,40.6391394330959
2004,41,18,41.870741711419285
2004,42,16,36.08779269763958
2004,43,16,37.79817388264513
2004,44,20,37.79817388264513
2004,45,17,36.08779269763958
2004,46,4,36.08779269763958
2004,47,15,31.635986076439895
2004,48,8,34.151717343223645
2004,49,6,28.026073517854545
2004,50,12,28.23751343151738
2004,51,15,28.23751343151738
2004,52,11,28.23751343151738
2005,53,10,29.170501610472083
2005,1,15,31.4745836226955
2005,2,17,28.23751343151738
2005,3,7,28.23751343151738
2005,4,7,28.23751343151738
2005,5,8,29.6807649644011
2005,6,9,27.173680424574176
2005,7,12,28.23751343151738
2005,8,12,27.173680424574176
2005,9,5,27.173680424574176
2005,10,4,28.23751343151738
2005,11,11,27.173680424574176
2005,12,4,27.173680424574176
2005,13,5,27.173680424574176
2005,14,7,27.173680424574176
2005,15,1,27.173680424574176
2005,16,1,28.106668603528878
2005,17,4,28.106668603528878
2005,18,2,32.22968690365776
2005,19,6,32.917835155579226
2005,20,3,31.4745836226955
2005,21,4,28.861771884491134
2005,22,10,32.917835155579226
2005,23,12,37.79817388264513
2005,24,21,40.6391394330959
2005,25,26,36.08779269763958
2005,26,21,36.08779269763958
2005,27,30,40.6391394330959
2005,28,45,42.34952061810145
2005,29,56,42.34952061810145
2005,30,75,42.34952061810145
2005,31,83,42.34952061810145
2005,32,82,42.34952061810145
2005,33,126,42.34952061810145
2005,34,119,40.6391394330959
