year,weekofyear,total_cases,pred_cases
2003,44,39,22.333200628779757
2003,45,39,22.24004376174882
2003,46,34,22.51896750401705
2003,47,30,21.27938641545247
2003,48,37,21.862106364507284
2003,49,29,22.325449888216532
2003,50,26,19.365268601233844
2003,51,15,18.526996397796115
2003,52,22,19.15397130887167
2004,1,15,18.16950245538038
2004,2,20,18.458904911629038
2004,3,14,14.520183977191332
2004,4,10,14.910651319868691
2004,5,21,16.21687414415578
2004,6,14,15.840100680143152
2004,7,14,15.177981445963256
2004,8,9,16.167104940933495
2004,9,11,16.363843642374544
2004,10,5,16.120690774692385
2004,11,6,16.099499895000257
2004,12,7,16.681447335143787
2004,13,11,15.301440403030051
2004,14,4,17.129214759106002
2004,15,3,16.896726900158985
2004,16,2,16.406008861901594
2004,17,6,17.087860019082548
2004,18,10,17.9673047201031
2004,19,7,16.68625832457655
2004,20,5,19.02382267241311
2004,21,3,18.39137899213624
2004,22,12,19.398185777316762
2004,23,13,19.10056160795354
2004,24,10,19.185736134567264
2004,25,13,21.181955987942626
2004,26,13,20.79315230944163
2004,27,8,21.591396351740578
2004,28,21,21.61357068883059
2004,29,18,21.726311105160924
2004,30,8,21.215982363538174
2004,31,7,22.098476004216224
2004,32,20,21.40748644512891
2004,33,14,21.809655215941135
2004,34,14,22.04310015860858
2004,35,7,22.41927572690095
2004,36,14,22.75670046989439
2004,37,10,22.994784688155605
2004,38,13,22.242965709062013
2004,39,27,23.365938559145462
2004,40,13,23.0371999133706
2004,41,18,22.923819399313256
2004,42,16,22.322533015759124
2004,43,16,22.046404914130292
2004,44,20,22.601338495594796
2004,45,17,21.837714146864553
2004,46,4,21.75874885579328
2004,47,15,20.586975361580304
2004,48,8,20.442435350367074
2004,49,6,20.174824559222596
2004,50,12,17.253428781589527
2004,51,15,16.7733518875191
2004,52,11,16.147058490649925
2005,53,10,18.861051273011753
2005,1,15,19.797437960130456
2005,2,17,15.566309821694093
2005,3,7,15.566309821694093
2005,4,7,16.558035238966074
2005,5,8,16.80966679969257
2005,6,9,14.335509928311609
2005,7,12,13.885312900226957
2005,8,12,12.280783953581984
2005,9,5,13.0953675144202
2005,10,4,14.076761609364349
2005,11,11,15.751173447680763
2005,12,4,16.975782715754164
2005,13,5,16.049971607578264
2005,14,7,16.48216181078673
2005,15,1,18.612172188125392
2005,16,1,19.288784916694752
2005,17,4,19.116923565068266
2005,18,2,20.645693235623014
2005,19,6,20.246253090240803
2005,20,3,19.40529352481783
2005,21,4,20.25295375216335
2005,22,10,20.47264764177064
2005,23,12,22.954811584978387
2005,24,21,23.55536176905075
2005,25,26,22.608900917586567
2005,26,21,21.87486244055044
2005,27,30,23.644154952678605
2005,28,45,23.246493479054646
2005,29,56,23.798645148313167
2005,30,75,22.866668580354272
2005,31,83,22.332579470194045
2005,32,82,22.967152567854534
2005,33,126,23.276356706963877
2005,34,119,23.506896851866358
2005,35,137,23.491522519889344
2005,36,131,22.333514101163484
2005,37,112,22.81797314201975
2005,38,82,22.437598521084325
2005,39,73,24.101830421177723
2005,40,43,22.790191649326424
2005,41,55,22.88137586816156
2005,42,55,22.715773565791025
2005,43,53,21.922301757503877
2005,44,46,22.95548211918461
2005,45,43,22.774958629678878
2005,46,29,22.24017502346193
2005,47,22,22.043268837476596
2005,48,26,20.947207634264053
2005,49,13,19.399051544773148
2005,50,17,19.47547932838257
2005,51,8,16.06074186917558
2006,52,13,17.610488257431843
2006,1,10,17.173792666865396
2006,2,17,18.224315002395166
2006,3,19,16.836485744580283
2006,4,9,15.875104399429446
2006,5,9,17.458657408774712
2006,6,9,16.153917565976748
2006,7,3,14.668061209067202
2006,8,7,15.358010096740115
2006,9,7,16.986166780117067
2006,10,0,16.077624818052097
2006,11,2,15.504452208443402
2006,12,3,16.19694868883483
2006,13,3,15.27124601642629
2006,14,1,16.660399811034637
2006,15,3,17.6885879750157
2006,16,3,18.58950098688431
2006,17,3,18.05698985150531
2006,18,7,18.414453249756594
2006,19,3,18.949036334468964
2006,20,5,18.954898112884145
2006,21,11,17.23867233398701
2006,22,5,21.4295421431889
2006,23,5,21.819300895824618
2006,24,6,21.823799769188575
2006,25,6,21.84913159776669
2006,26,4,21.967685637008053
2006,27,4,22.01538284739663
2006,28,8,23.085766337238333
2006,29,14,21.82487674164635
2006,30,12,22.069864191343903
2006,31,16,21.3652864685249
2006,32,10,22.102792221606986
2006,33,16,22.225232478930497
2006,34,18,21.794122231269267
2006,35,15,22.39995039892548
2006,36,23,22.610435127542907
2006,37,17,22.748625144459947
2006,38,33,22.410958814937445
2006,39,15,22.669782850328072
2006,40,13,22.41865564850054
2006,41,11,22.73597989122223
2006,42,14,22.35997531131354
2006,43,17,22.410722736594618
2006,44,19,22.839626691568423
2006,45,20,22.491701082296995
2006,46,12,22.758151219966948
2006,47,21,21.10024089982677
2006,48,7,19.201550911491246
2006,49,19,19.33010033083433
2006,50,10,20.799865918432666
2006,51,13,18.513772754671663
2007,1,10,19.67674019650734
2007,2,8,18.39727411506057
2007,3,21,17.93310623789889
2007,4,11,16.810699819631633
2007,5,9,17.098158541722157
2007,6,14,16.437524154956776
2007,7,14,15.600221144562317
2007,8,15,16.84846097180006
2007,9,18,17.065669281240606
2007,10,16,17.727165818875747
2007,11,12,17.644248654167406
2007,12,20,18.3877423730938
2007,13,8,17.972576245183127
2007,14,3,17.870980875665758
2007,15,13,18.86829530514133
2007,16,4,16.972784973970473
2007,17,1,16.973582591138882
2007,18,10,19.284265234769304
2007,19,8,20.164896166691
2007,20,13,19.533268428778094
2007,21,10,19.896841329701616
2007,22,21,21.732080893250156
2007,23,18,21.246168517859193
2007,24,21,21.492462687442465
2007,25,34,21.987401522519967
2007,26,25,21.66285062399335
2007,27,34,22.129362778191073
2007,28,33,23.103672231553826
2007,29,40,21.935800904586767
2007,30,42,21.93271937754611
2007,31,36,22.134962510794413
2007,32,72,22.732020672622763
2007,33,75,21.849260408505785
2007,34,76,22.615209459368785
2007,35,92,22.505943814743183
2007,36,71,22.56510740356968
2007,37,112,22.52576334600258
2007,38,106,22.083427512854296
2007,39,101,22.171854309462297
2007,40,170,22.510904662138998
2007,41,135,22.301305999887656
2007,42,106,22.238977080241256
2007,43,68,22.83767210550018
2007,44,48,22.5760223569472
2007,45,48,21.469984622461336
2007,46,26,20.98731261304065
2007,47,33,20.358592530164657
2007,48,29,20.057202551374218
2007,49,17,20.29297762103648
2007,50,12,17.001246845106728
2007,51,13,17.964275386284072
2007,52,17,18.20124118480407
2008,1,15,18.312781479271095
2008,2,14,16.889896466016282
2008,3,15,16.308631280335113
2008,4,10,16.421044145997016
2008,5,9,15.565513161418497
2008,6,2,16.42055148816343
2008,7,6,15.168123801010816
2008,8,8,14.033818952526186
2008,9,5,15.759359496804986
2008,10,1,15.730989845480792
2008,11,2,15.3007003160474
2008,12,3,15.6904602992916
2008,13,4,14.843363086343093
2008,14,3,15.114677366733996
2008,15,1,14.84033505197272
2008,16,3,16.738524636557635
2008,17,5,15.495606577172754
